ws_sold_date_sk,ws_sold_time_sk,ws_ship_date_sk,ws_item_sk,ws_bill_customer_sk,ws_bill_cdemo_sk,ws_bill_hdemo_sk,ws_bill_addr_sk,ws_ship_customer_sk,ws_ship_cdemo_sk,ws_ship_hdemo_sk,ws_ship_addr_sk,ws_web_page_sk,ws_web_site_sk,ws_ship_mode_sk,ws_warehouse_sk,ws_promo_sk,ws_order_number,ws_quantity,ws_wholesale_cost,ws_list_price,ws_sales_price,ws_ext_discount_amt,ws_ext_sales_price,ws_ext_wholesale_cost,ws_ext_list_price,ws_ext_tax,ws_coupon_amt,ws_ext_ship_cost,ws_net_paid,ws_net_paid_inc_tax,ws_net_paid_inc_ship,ws_net_paid_inc_ship_tax,ws_net_profit
2451383,73313,2451482,4591,83074,596485,1096,40907,85919,41329,1140,1351,43,4,4,5,6,1,57,33.59,59.45,38.04,1220.37,2168.28,1914.63,3388.65,50.95,1149.18,575.70,1019.10,1070.05,1594.80,1645.75,-895.53
2451383,73313,2451411,3566,83074,596485,1096,40907,85919,41329,1140,1351,28,7,3,2,271,1,38,29.83,48.92,26.41,855.38,1003.58,1133.54,1858.96,30.10,0.00,910.86,1003.58,1033.68,1914.44,1944.54,-129.96
2451383,73313,2451413,7286,83074,596485,1096,40907,85919,41329,1140,1351,58,28,10,5,300,1,32,49.72,107.89,97.10,345.28,3107.20,1591.04,3452.48,124.28,0.00,828.48,3107.20,3231.48,3935.68,4059.96,1516.16
2451383,73313,2451393,2755,83074,596485,1096,40907,85919,41329,1140,1351,2,7,6,1,63,1,65,69.18,112.07,22.41,5827.90,1456.65,4496.70,7284.55,29.13,0.00,2476.50,1456.65,1485.78,3933.15,3962.28,-3040.05
2451383,73313,2451502,2516,83074,596485,1096,40907,85919,41329,1140,1351,56,16,2,5,18,1,58,36.62,41.38,16.13,1464.50,935.54,2123.96,2400.04,84.19,0.00,167.62,935.54,1019.73,1103.16,1187.35,-1188.42
2451383,73313,2451421,16966,83074,596485,1096,40907,85919,41329,1140,1351,50,7,2,2,185,1,90,72.05,161.39,27.43,12056.40,2468.70,6484.50,14525.10,74.06,0.00,4647.60,2468.70,2542.76,7116.30,7190.36,-4015.80
2451383,73313,2451457,10402,83074,596485,1096,40907,85919,41329,1140,1351,56,16,16,3,293,1,15,83.92,174.55,69.82,1570.95,1047.30,1258.80,2618.25,20.94,0.00,392.70,1047.30,1068.24,1440.00,1460.94,-211.50
2451383,73313,2451430,1735,83074,596485,1096,40907,85919,41329,1140,1351,25,19,14,3,202,1,16,45.27,128.56,68.13,966.88,1090.08,724.32,2056.96,87.20,0.00,370.24,1090.08,1177.28,1460.32,1547.52,365.76
2451383,73313,2451458,15464,83074,596485,1096,40907,85919,41329,1140,1351,13,26,8,5,49,1,54,53.45,60.39,26.57,1826.28,1434.78,2886.30,3261.06,48.78,215.21,488.70,1219.57,1268.35,1708.27,1757.05,-1666.73
2452625,34964,2452702,8925,42296,436090,2684,37278,57428,1487225,3907,30901,9,13,16,3,267,2,47,49.64,68.99,12.41,2659.26,583.27,2333.08,3242.53,52.49,0.00,1134.58,583.27,635.76,1717.85,1770.34,-1749.81
2452625,34964,2452638,11041,42296,436090,2684,37278,57428,1487225,3907,30901,1,13,16,2,221,2,12,7.24,12.16,11.91,3.00,142.92,86.88,145.92,10.00,0.00,29.16,142.92,152.92,172.08,182.08,56.04
2452625,34964,2452645,645,42296,436090,2684,37278,57428,1487225,3907,30901,15,21,7,5,246,2,6,45.21,67.36,30.31,222.30,181.86,271.26,404.16,16.36,0.00,185.88,181.86,198.22,367.74,384.10,-89.40
2452625,34964,2452690,12453,42296,436090,2684,37278,57428,1487225,3907,30901,57,12,3,5,237,2,43,9.62,13.08,9.02,174.58,387.86,413.66,562.44,19.39,0.00,117.82,387.86,407.25,505.68,525.07,-25.80
2452625,34964,2452707,13831,42296,436090,2684,37278,57428,1487225,3907,30901,18,19,1,2,223,2,57,35.95,62.55,43.78,1069.89,2495.46,2049.15,3565.35,224.59,0.00,962.16,2495.46,2720.05,3457.62,3682.21,446.31
2452625,34964,2452640,9559,42296,436090,2684,37278,57428,1487225,3907,30901,6,21,6,4,72,2,93,65.80,152.65,29.00,11499.45,2697.00,6119.40,14196.45,215.76,0.00,7097.76,2697.00,2912.76,9794.76,10010.52,-3422.40
2452625,34964,2452634,8085,42296,436090,2684,37278,57428,1487225,3907,30901,45,3,18,2,276,2,93,55.42,127.46,1.27,11735.67,118.11,5154.06,11853.78,4.72,0.00,1421.97,118.11,122.83,1540.08,1544.80,-5035.95
2452625,34964,2452734,12081,42296,436090,2684,37278,57428,1487225,3907,30901,9,27,3,2,94,2,82,48.65,91.94,8.27,6860.94,678.14,3989.30,7539.08,13.56,0.00,2788.82,678.14,691.70,3466.96,3480.52,-3311.16
2452625,34964,2452739,15739,42296,436090,2684,37278,57428,1487225,3907,30901,24,3,9,4,99,2,33,80.23,90.65,55.29,1166.88,1824.57,2647.59,2991.45,0.00,0.00,478.50,1824.57,1824.57,2303.07,2303.07,-823.02
2451754,1529,2451801,17431,74800,1219525,3450,3375,84180,293885,5550,41475,49,8,2,2,259,3,65,5.37,10.31,2.06,536.25,133.90,349.05,670.15,7.47,9.37,26.65,124.53,132.00,151.18,158.65,-224.52
2451754,1529,2451791,4694,74800,1219525,3450,3375,84180,293885,5550,41475,13,25,9,5,91,3,74,74.66,83.61,52.67,2289.56,3897.58,5524.84,6187.14,116.92,0.00,1546.60,3897.58,4014.50,5444.18,5561.10,-1627.26
2451754,1529,2451814,2189,74800,1219525,3450,3375,84180,293885,5550,41475,8,26,3,4,18,3,26,77.15,198.27,109.04,2319.98,2835.04,2005.90,5155.02,36.28,2381.43,206.18,453.61,489.89,659.79,696.07,-1552.29
2451754,1529,2451765,151,74800,1219525,3450,3375,84180,293885,5550,41475,23,7,3,5,167,3,25,99.00,292.05,262.84,730.25,6571.00,2475.00,7301.25,65.71,0.00,3285.50,6571.00,6636.71,9856.50,9922.21,4096.00
2451754,1529,2451855,10793,74800,1219525,3450,3375,84180,293885,5550,41475,11,14,7,4,298,3,80,14.55,42.34,27.09,1220.00,2167.20,1164.00,3387.20,43.34,0.00,609.60,2167.20,2210.54,2776.80,2820.14,1003.20
2451754,1529,2451862,12782,74800,1219525,3450,3375,84180,293885,5550,41475,20,2,13,4,275,3,54,64.58,160.80,120.60,2170.80,6512.40,3487.32,8683.20,586.11,0.00,3646.62,6512.40,7098.51,10159.02,10745.13,3025.08
2451754,1529,2451809,15769,74800,1219525,3450,3375,84180,293885,5550,41475,35,17,20,1,162,3,30,54.81,81.11,22.71,1752.00,681.30,1644.30,2433.30,6.81,0.00,0.00,681.30,688.11,681.30,688.11,-963.00
2451754,1529,2451782,5549,74800,1219525,3450,3375,84180,293885,5550,41475,29,26,6,3,170,3,19,87.13,170.77,155.40,292.03,2952.60,1655.47,3244.63,88.57,0.00,486.59,2952.60,3041.17,3439.19,3527.76,1297.13
2451754,1529,2451760,12475,74800,1219525,3450,3375,84180,293885,5550,41475,44,11,16,4,232,3,29,86.36,90.67,68.90,631.33,1998.10,2504.44,2629.43,159.84,0.00,236.64,1998.10,2157.94,2234.74,2394.58,-506.34
2451754,1529,2451812,5324,74800,1219525,3450,3375,84180,293885,5550,41475,26,26,4,4,277,3,2,4.21,10.90,0.54,20.72,1.08,8.42,21.80,0.07,0.00,5.88,1.08,1.15,6.96,7.03,-7.34
2451754,1529,2451846,15686,74800,1219525,3450,3375,84180,293885,5550,41475,53,11,18,2,79,3,42,56.94,107.04,102.75,180.18,4315.50,2391.48,4495.68,43.15,0.00,1708.14,4315.50,4358.65,6023.64,6066.79,1924.02
2451754,1529,2451858,12977,74800,1219525,3450,3375,84180,293885,5550,41475,26,14,12,1,50,3,91,88.66,242.04,183.95,5286.19,16739.45,8068.06,22025.64,502.18,0.00,0.00,16739.45,17241.63,16739.45,17241.63,8671.39
2451754,1529,2451758,1874,74800,1219525,3450,3375,84180,293885,5550,41475,43,29,15,3,98,3,10,32.29,45.85,30.71,151.40,307.10,322.90,458.50,0.61,276.39,137.50,30.71,31.32,168.21,168.82,-292.19
2451754,1529,2451801,8281,74800,1219525,3450,3375,84180,293885,5550,41475,26,1,18,5,59,3,1,66.29,174.34,137.72,36.62,137.72,66.29,174.34,4.62,71.61,45.32,66.11,70.73,111.43,116.05,-0.18
2451754,1529,2451763,17867,74800,1219525,3450,3375,84180,293885,5550,41475,7,5,19,5,14,3,7,66.22,145.68,144.22,10.22,1009.54,463.54,1019.76,80.76,0.00,193.69,1009.54,1090.30,1203.23,1283.99,546.00
2451754,1529,2451807,10760,74800,1219525,3450,3375,84180,293885,5550,41475,47,25,2,3,17,3,10,87.53,150.55,58.71,918.40,587.10,875.30,1505.50,27.12,135.03,316.10,452.07,479.19,768.17,795.29,-423.23
2451483,77832,2451501,11842,89187,512359,4331,19456,87757,1249940,2525,37697,38,13,11,3,192,4,83,4.36,10.15,4.66,455.67,386.78,361.88,842.45,27.07,0.00,151.06,386.78,413.85,537.84,564.91,24.90
2451483,77832,2451554,6718,89187,512359,4331,19456,87757,1249940,2525,37697,1,10,4,4,74,4,20,71.90,103.53,85.92,352.20,1718.40,1438.00,2070.60,154.65,0.00,227.60,1718.40,1873.05,1946.00,2100.65,280.40
2451483,77832,2451542,3592,89187,512359,4331,19456,87757,1249940,2525,37697,38,20,12,5,201,4,26,81.47,126.27,27.77,2561.00,722.02,2118.22,3283.02,50.54,0.00,1411.54,722.02,772.56,2133.56,2184.10,-1396.20
2451483,77832,2451563,14779,89187,512359,4331,19456,87757,1249940,2525,37697,16,22,12,2,125,4,32,30.81,40.05,22.02,576.96,704.64,985.92,1281.60,35.23,0.00,358.72,704.64,739.87,1063.36,1098.59,-281.28
